implementation,action,num_rows,num_cols,filled,time
array,find: existing value,100,1,0.66,0.0061984339999980875
linked_list,find: existing value,100,1,0.66,0.0016166059999704885
csr,find: existing value,100,1,0.66,0.0035685709999597748
array,find: non-existing value,100,1,0.66,0.006232342999737739
linked_list,find: non-existing value,100,1,0.66,0.0014312379998955294
csr,find: non-existing value,100,1,0.66,0.003668065000056231
array,find: existing value,100,10000,1.0,24.594784164999965
linked_list,find: existing value,100,10000,1.0,0.15540295299979334
csr,find: existing value,100,10000,1.0,42.139900657
array,find: non-existing value,100,10000,1.0,25.94669465700008
linked_list,find: non-existing value,100,10000,1.0,0.23329726900010428
csr,find: non-existing value,100,10000,1.0,44.3829315160001
array,find: existing value,31,3160,0.66,1.816397765000147
linked_list,find: existing value,31,3160,0.66,0.023968740999862348
csr,find: existing value,31,3160,0.66,3.395814943000005
array,find: non-existing value,31,3160,0.66,2.9521888379999837
linked_list,find: non-existing value,31,3160,0.66,0.0289668239997809
csr,find: non-existing value,31,3160,0.66,3.8852568570000585
array,find: existing value,316,316,0.66,2.0104751160001797
linked_list,find: existing value,316,316,0.66,0.010035018000053242
csr,find: existing value,316,316,0.66,4.235343124000337
array,find: non-existing value,316,316,0.66,2.01772010600007
linked_list,find: non-existing value,316,316,0.66,0.008774403000188613
csr,find: non-existing value,316,316,0.66,3.5282502510003724
array,find: existing value,3,320,0.66,0.015363937000074657
linked_list,find: existing value,3,320,0.66,0.002373698000155855
csr,find: existing value,3,320,0.66,0.029112320999956864
array,find: non-existing value,3,320,0.66,0.0154024609996668
linked_list,find: non-existing value,3,320,0.66,0.002267639000365307
csr,find: non-existing value,3,320,0.66,0.029363324000314606
array,find: existing value,100,10000,0.33,15.784946200999912
linked_list,find: existing value,100,10000,0.33,0.040115623000019696
csr,find: existing value,100,10000,0.33,29.634038251999755
array,find: non-existing value,100,10000,0.33,14.653540840000005
linked_list,find: non-existing value,100,10000,0.33,0.03523668100024224
csr,find: non-existing value,100,10000,0.33,28.621070216000135
array,find: existing value,320,3,1.0,0.038082714999745804
linked_list,find: existing value,320,3,1.0,0.0075403630003165745
csr,find: existing value,320,3,1.0,0.03727055399986057
array,find: non-existing value,320,3,1.0,0.03233171600004425
linked_list,find: non-existing value,320,3,1.0,0.007308873000056337
csr,find: non-existing value,320,3,1.0,0.0371417639998981
array,find: existing value,1000,10,1.0,0.29067564699971626
linked_list,find: existing value,1000,10,1.0,0.027407807000145112
csr,find: existing value,1000,10,1.0,0.39553766099970744
array,find: non-existing value,1000,10,1.0,0.2508302020000883
linked_list,find: non-existing value,1000,10,1.0,0.023358687999916583
csr,find: non-existing value,1000,10,1.0,0.3776637689998097
array,find: existing value,1,100,1.0,0.0019292510000923357
linked_list,find: existing value,1,100,1.0,0.0010472189997017267
csr,find: existing value,1,100,1.0,0.0034342710000601073
array,find: non-existing value,1,100,1.0,0.0020941520001542813
linked_list,find: non-existing value,1,100,1.0,0.00117292400000224
csr,find: non-existing value,1,100,1.0,0.0033802660000219475
array,find: existing value,1000,10,0.33,0.16956276400014758
linked_list,find: existing value,1000,10,0.33,0.021023020000029646
csr,find: existing value,1000,10,0.33,0.30233289700026944
array,find: non-existing value,1000,10,0.33,0.18428076000009241
linked_list,find: non-existing value,1000,10,0.33,0.02379543699998976
csr,find: non-existing value,1000,10,0.33,0.2781930289997945
array,find: existing value,1,100,0.33,0.0014927870001884003
linked_list,find: existing value,1,100,0.33,0.0003808589999607648
csr,find: existing value,1,100,0.33,0.0030915590000404336
array,find: non-existing value,1,100,0.33,0.0015291830000023765
linked_list,find: non-existing value,1,100,0.33,0.0003968910000367032
csr,find: non-existing value,1,100,0.33,0.003474648000064917
array,find: existing value,3160,31,0.66,2.092893721999644
linked_list,find: existing value,3160,31,0.66,0.0675612939999155
csr,find: existing value,3160,31,0.66,3.3149809060000734
array,find: non-existing value,3160,31,0.66,2.189975296999819
linked_list,find: non-existing value,3160,31,0.66,0.07799955100017542
csr,find: non-existing value,3160,31,0.66,3.4676166389999707
array,find: existing value,320,3,0.33,0.026833559999886347
linked_list,find: existing value,320,3,0.33,0.005719059000057314
csr,find: existing value,320,3,0.33,0.021355839000079868
array,find: non-existing value,320,3,0.33,0.029397134000191727
linked_list,find: non-existing value,320,3,0.33,0.007574674000352388
csr,find: non-existing value,320,3,0.33,0.02557598599969424
array,find: existing value,1000,1000,1.0,22.087061425999764
linked_list,find: existing value,1000,1000,1.0,0.028363548000015726
csr,find: existing value,1000,1000,1.0,37.76476735899996
array,find: non-existing value,1000,1000,1.0,21.05865878700024
linked_list,find: non-existing value,1000,1000,1.0,0.03155693700000484
csr,find: non-existing value,1000,1000,1.0,37.15087399699996
array,find: existing value,100,100,0.33,0.13874167700032558
linked_list,find: existing value,100,100,0.33,0.002823835999606672
csr,find: existing value,100,100,0.33,0.24043359399956898
array,find: non-existing value,100,100,0.33,0.11919143499972051
linked_list,find: non-existing value,100,100,0.33,0.0027608860000327695
csr,find: non-existing value,100,100,0.33,0.24439695799992478
array,find: existing value,10,10,0.33,0.0018732059998001205
linked_list,find: existing value,10,10,0.33,0.0003009160000146949
csr,find: existing value,10,10,0.33,0.0025523489998704463
array,find: non-existing value,10,10,0.33,0.0018389380002190592
linked_list,find: non-existing value,10,10,0.33,0.00029642900017279317
csr,find: non-existing value,10,10,0.33,0.002658971999608184
array,find: existing value,316,316,1.0,2.0387029660000735
linked_list,find: existing value,316,316,1.0,0.009674842000094941
csr,find: existing value,316,316,1.0,3.5750071180000305
array,find: non-existing value,316,316,1.0,2.0657769439999356
linked_list,find: non-existing value,316,316,1.0,0.008936427000207914
csr,find: non-existing value,316,316,1.0,3.4975824009998178
array,find: existing value,1000,1000,0.33,13.646359330999985
linked_list,find: existing value,1000,1000,0.33,0.02483888000006118
csr,find: existing value,1000,1000,0.33,26.975630080999963
array,find: non-existing value,1000,1000,0.33,13.456115726999997
linked_list,find: non-existing value,1000,1000,0.33,0.03066299300007813
csr,find: non-existing value,1000,1000,0.33,32.06057666700008
array,find: existing value,10000,100,1.0,27.664331572000265
linked_list,find: existing value,10000,100,1.0,0.2386686509998981
csr,find: existing value,10000,100,1.0,40.82788619199982
array,find: non-existing value,10000,100,1.0,23.80234171300026
linked_list,find: non-existing value,10000,100,1.0,0.2234706650001499
