implementation,action,num_rows,num_cols,filled,time
csr,find: non-existing value,10,1000,0.33,0.21217150000029505
array,find: existing value,10,1000,0.66,0.1243398999999954
linked_list,find: existing value,10,1000,0.66,0.006478700000116078
csr,find: existing value,10,1000,0.66,0.272196299999905
array,find: non-existing value,10,1000,0.66,0.12729970000009416
linked_list,find: non-existing value,10,1000,0.66,0.007072300000345422
csr,find: non-existing value,10,1000,0.66,0.26998749999984284
array,find: existing value,10,1000,1.0,0.18097220000026937
linked_list,find: existing value,10,1000,1.0,0.009055999999873166
csr,find: existing value,10,1000,1.0,0.3057058999997935
array,find: non-existing value,10,1000,1.0,0.1499826999997822
linked_list,find: non-existing value,10,1000,1.0,0.008695800000168674
csr,find: non-existing value,10,1000,1.0,0.3251357999997708
array,find: existing value,10,10,0.33,0.001240099999904487
linked_list,find: existing value,10,10,0.33,0.0001876000001175271
csr,find: existing value,10,10,0.33,0.0016992999999274616
array,find: non-existing value,10,10,0.33,0.0012223999997331703
linked_list,find: non-existing value,10,10,0.33,0.00024609999991298537
csr,find: non-existing value,10,10,0.33,0.001877600000170787
array,find: existing value,10,10,0.66,0.001470100000005914
linked_list,find: existing value,10,10,0.66,0.0002764999999271822
csr,find: existing value,10,10,0.66,0.002419300000383373
array,find: non-existing value,10,10,0.66,0.0016152000002875866
linked_list,find: non-existing value,10,10,0.66,0.0003103000003648049
csr,find: non-existing value,10,10,0.66,0.002190900000186957
array,find: existing value,10,10,1.0,0.0018196000000898493
linked_list,find: existing value,10,10,1.0,0.00027150000005349284
csr,find: existing value,10,10,1.0,0.002993300000071031
array,find: non-existing value,10,10,1.0,0.002047999999831518
linked_list,find: non-existing value,10,10,1.0,0.00026630000002114684
csr,find: non-existing value,10,10,1.0,0.0031986000003598747
array,find: existing value,1,100,0.33,0.0009264999998777057
linked_list,find: existing value,1,100,0.33,0.0003428999998504878
csr,find: existing value,1,100,0.33,0.0019308999999338994
array,find: non-existing value,1,100,0.33,0.0009093000003304041
linked_list,find: non-existing value,1,100,0.33,0.00034580000010464573
csr,find: non-existing value,1,100,0.33,0.001950200000010227
array,find: existing value,1,100,0.66,0.0014578000000255997
linked_list,find: existing value,1,100,0.66,0.0006021999997756211
csr,find: existing value,1,100,0.66,0.002258800000163319
array,find: non-existing value,1,100,0.66,0.0012298999999984517
linked_list,find: non-existing value,1,100,0.66,0.0005605000001196458
csr,find: non-existing value,1,100,0.66,0.0022249999997256964
array,find: existing value,1,100,1.0,0.0013813000000482134
linked_list,find: existing value,1,100,1.0,0.0008360000001630397
csr,find: existing value,1,100,1.0,0.0023416000003635418
array,find: non-existing value,1,100,1.0,0.0014608000001317123
linked_list,find: non-existing value,1,100,1.0,0.0009726999996928498
csr,find: non-existing value,1,100,1.0,0.0028012000002490822
array,find: existing value,3160,31,0.33,1.1229420999998183
linked_list,find: existing value,3160,31,0.33,0.06107339999971373
csr,find: existing value,3160,31,0.33,2.167196099999728
array,find: non-existing value,3160,31,0.33,1.19010470000012
linked_list,find: non-existing value,3160,31,0.33,0.067423499999677
csr,find: non-existing value,3160,31,0.33,2.2897068000002037
array,find: existing value,3160,31,0.66,1.6585721999999805
linked_list,find: existing value,3160,31,0.66,0.06629229999998643
csr,find: existing value,3160,31,0.66,2.985591000000113
array,find: non-existing value,3160,31,0.66,1.780185900000106
linked_list,find: non-existing value,3160,31,0.66,0.06523839999999836
csr,find: non-existing value,3160,31,0.66,2.977708399999756
array,find: existing value,3160,31,1.0,2.0952965000001313
linked_list,find: existing value,3160,31,1.0,0.0741345999999794
csr,find: existing value,3160,31,1.0,3.598065399999996
array,find: non-existing value,3160,31,1.0,2.1121783999997206
linked_list,find: non-existing value,3160,31,1.0,0.06332920000022568
csr,find: non-existing value,3160,31,1.0,3.6023557000003166
array,find: existing value,316,316,0.33,1.1973275999998805
linked_list,find: existing value,316,316,0.33,0.006705400000100781
csr,find: existing value,316,316,0.33,2.120986599999924
array,find: non-existing value,316,316,0.33,1.0915176000003157
linked_list,find: non-existing value,316,316,0.33,0.0064784000001054665
csr,find: non-existing value,316,316,0.33,2.0266600999998445
array,find: existing value,316,316,0.66,1.2976329000002806
linked_list,find: existing value,316,316,0.66,0.009294699999827571
csr,find: existing value,316,316,0.66,2.552450399999998
array,find: non-existing value,316,316,0.66,1.386194499999874
linked_list,find: non-existing value,316,316,0.66,0.008540099999663653
csr,find: non-existing value,316,316,0.66,2.665734799999882
array,find: existing value,316,316,1.0,1.4342410000003838
linked_list,find: existing value,316,316,1.0,0.008956899999702728
csr,find: existing value,316,316,1.0,3.368094800000108
array,find: non-existing value,316,316,1.0,1.5847325999998247
linked_list,find: non-existing value,316,316,1.0,0.01186890000008134
csr,find: non-existing value,316,316,1.0,3.0505050000001575
array,find: existing value,31,3160,0.33,1.0339720000001762
linked_list,find: existing value,31,3160,0.33,0.009375099999942904
csr,find: existing value,31,3160,0.33,2.20944099999997
array,find: non-existing value,31,3160,0.33,0.9607547000000523
linked_list,find: non-existing value,31,3160,0.33,0.013989600000059
csr,find: non-existing value,31,3160,0.33,2.275125499999831
array,find: existing value,31,3160,0.66,1.1978958999998213
linked_list,find: existing value,31,3160,0.66,0.01783720000003086
csr,find: existing value,31,3160,0.66,2.7573844999997164
array,find: non-existing value,31,3160,0.66,1.2388246000000436
linked_list,find: non-existing value,31,3160,0.66,0.03335800000013478
csr,find: non-existing value,31,3160,0.66,2.694994100000258
array,find: existing value,31,3160,1.0,1.7615789999999834
linked_list,find: existing value,31,3160,1.0,0.03220550000014555
csr,find: existing value,31,3160,1.0,3.370692599999984
array,find: non-existing value,31,3160,1.0,1.6006659999998192
linked_list,find: non-existing value,31,3160,1.0,0.035740899999836984
csr,find: non-existing value,31,3160,1.0,3.1611219000001256
array,find: existing value,320,3,0.33,0.021005699999932403
linked_list,find: existing value,320,3,0.33,0.005162099999779457
csr,find: existing value,320,3,0.33,0.017658299999766314
array,find: non-existing value,320,3,0.33,0.02090589999988879
linked_list,find: non-existing value,320,3,0.33,0.006338000000141619
csr,find: non-existing value,320,3,0.33,0.025215399999979127
array,find: existing value,320,3,0.66,0.022284299999682844
linked_list,find: existing value,320,3,0.66,0.005649600000197097
csr,find: existing value,320,3,0.66,0.023684199999934208
array,find: non-existing value,320,3,0.66,0.022197999999661988
linked_list,find: non-existing value,320,3,0.66,0.00615269999980228
csr,find: non-existing value,320,3,0.66,0.02447359999996479
array,find: existing value,320,3,1.0,0.02686509999966802
linked_list,find: existing value,320,3,1.0,0.00647339999977703
csr,find: existing value,320,3,1.0,0.031717700000172044
array,find: non-existing value,320,3,1.0,0.02775229999997464
linked_list,find: non-existing value,320,3,1.0,0.00566770000023098
csr,find: non-existing value,320,3,1.0,0.026903199999651406
array,find: existing value,32,32,0.33,0.011715999999978521
linked_list,find: existing value,32,32,0.33,0.0008943000002545887
csr,find: existing value,32,32,0.33,0.021824500000093394
array,find: non-existing value,32,32,0.33,0.01543549999996685
linked_list,find: non-existing value,32,32,0.33,0.0014127999997981533
csr,find: non-existing value,32,32,0.33,0.04095069999993939
array,find: existing value,32,32,0.66,0.013446100000237493
linked_list,find: existing value,32,32,0.66,0.0009002000001601118
csr,find: existing value,32,32,0.66,0.026983300000210875
array,find: non-existing value,32,32,0.66,0.01269979999960924
linked_list,find: non-existing value,32,32,0.66,0.0008845000002111192
csr,find: non-existing value,32,32,0.66,0.026596600000175386
array,find: existing value,32,32,1.0,0.016359400000055757
linked_list,find: existing value,32,32,1.0,0.0010100999998030602
csr,find: existing value,32,32,1.0,0.030575400000088848
array,find: non-existing value,32,32,1.0,0.01805869999998322
linked_list,find: non-existing value,32,32,1.0,0.0007663999999749649
csr,find: non-existing value,32,32,1.0,0.028088600000046426
array,find: existing value,3,320,0.33,0.009480299999722774
linked_list,find: existing value,3,320,0.33,0.0010013999999500811
csr,find: existing value,3,320,0.33,0.01933259999987058
array,find: non-existing value,3,320,0.33,0.008248600000115403
linked_list,find: non-existing value,3,320,0.33,0.0009662000002208515
csr,find: non-existing value,3,320,0.33,0.01911000000018248
array,find: existing value,3,320,0.66,0.010682999999971798
linked_list,find: existing value,3,320,0.66,0.0018457999999554886
csr,find: existing value,3,320,0.66,0.024896000000353524
