implementation,action,num_rows,num_cols,filled,time
array,find: existing value,100,1,0.66,0.02719856300018364
linked_list,find: existing value,100,1,0.66,0.014352103000419447
csr,find: existing value,100,1,0.66,0.012278358000003209
array,find: non-existing value,100,1,0.66,0.02482630299982702
linked_list,find: non-existing value,100,1,0.66,0.008815384000172344
csr,find: non-existing value,100,1,0.66,0.009662567999839666
array,find: existing value,100,10000,1.0,47.66827143799992
linked_list,find: existing value,100,10000,1.0,0.15441915099972903
csr,find: existing value,100,10000,1.0,60.44936271400002
array,find: non-existing value,100,10000,1.0,28.85926046199984
linked_list,find: non-existing value,100,10000,1.0,0.14637342100013484
csr,find: non-existing value,100,10000,1.0,51.06594945500001
array,find: existing value,31,3160,0.66,2.2840109789999588
linked_list,find: existing value,31,3160,0.66,0.038888687000053324
csr,find: existing value,31,3160,0.66,6.0993382070000735
array,find: non-existing value,31,3160,0.66,2.696894424999755
linked_list,find: non-existing value,31,3160,0.66,0.045620903999861184
csr,find: non-existing value,31,3160,0.66,5.398602349000157
array,find: existing value,316,316,0.66,2.7683110209995903
linked_list,find: existing value,316,316,0.66,0.01464106699995682
csr,find: existing value,316,316,0.66,5.270143189000009
array,find: non-existing value,316,316,0.66,2.8905430779996095
linked_list,find: non-existing value,316,316,0.66,0.016099979000046005
csr,find: non-existing value,316,316,0.66,5.4011175969999385
array,find: existing value,3,320,0.66,0.02777422500003013
linked_list,find: existing value,3,320,0.66,0.004915073000120174
csr,find: existing value,3,320,0.66,0.04780367600005775
array,find: non-existing value,3,320,0.66,0.027052883000123984
linked_list,find: non-existing value,3,320,0.66,0.004312623000259919
csr,find: non-existing value,3,320,0.66,0.047546994000185805
array,find: existing value,100,10000,0.33,21.99065635399984
linked_list,find: existing value,100,10000,0.33,0.06244764400025815
csr,find: existing value,100,10000,0.33,39.98948974599989
array,find: non-existing value,100,10000,0.33,18.455068209000274
linked_list,find: non-existing value,100,10000,0.33,0.06656071899988092
csr,find: non-existing value,100,10000,0.33,37.80885895500023
array,find: existing value,320,3,1.0,0.047284152999964135
linked_list,find: existing value,320,3,1.0,0.01121976900003574
csr,find: existing value,320,3,1.0,0.05147601599992413
array,find: non-existing value,320,3,1.0,0.048424993000026006
linked_list,find: non-existing value,320,3,1.0,0.013199431999964872
csr,find: non-existing value,320,3,1.0,0.05211542699998972
array,find: existing value,1000,10,1.0,0.37247433100037597
