implementation,action,num_rows,num_cols,filled,time
array,find: existing value,100,1,0.66,0.005732700999942608
linked_list,find: existing value,100,1,0.66,0.0014229859998522443
csr,find: existing value,100,1,0.66,0.0035021200001210673
array,find: non-existing value,100,1,0.66,0.005711058000088087
linked_list,find: non-existing value,100,1,0.66,0.00139619199990193
csr,find: non-existing value,100,1,0.66,0.0032021909996728937
array,find: existing value,100,10000,1.0,21.469408152999677
linked_list,find: existing value,100,10000,1.0,0.10979198599989104
csr,find: existing value,100,10000,1.0,36.727265472
array,find: non-existing value,100,10000,1.0,21.020581840999967
linked_list,find: non-existing value,100,10000,1.0,0.10295700500000748
csr,find: non-existing value,100,10000,1.0,36.35173373600037
array,find: existing value,31,3160,0.66,1.6152230130001044
linked_list,find: existing value,31,3160,0.66,0.02252284799988047
csr,find: existing value,31,3160,0.66,3.1033814930001427
array,find: non-existing value,31,3160,0.66,1.6072135150002396
linked_list,find: non-existing value,31,3160,0.66,0.021808887000133836
csr,find: non-existing value,31,3160,0.66,3.1853636149999147
array,find: existing value,316,316,0.66,1.6770646590002798
linked_list,find: existing value,316,316,0.66,0.008257084999968356
csr,find: existing value,316,316,0.66,3.1493552500000987
array,find: non-existing value,316,316,0.66,1.6840269440003794
linked_list,find: non-existing value,316,316,0.66,0.008232782000050065
csr,find: non-existing value,316,316,0.66,3.197786732000168
array,find: existing value,3,320,0.66,0.016427389999989828
linked_list,find: existing value,3,320,0.66,0.002256047999708244
csr,find: existing value,3,320,0.66,0.02763728899981288
array,find: non-existing value,3,320,0.66,0.014650786999936827
linked_list,find: non-existing value,3,320,0.66,0.002113156000177696
csr,find: non-existing value,3,320,0.66,0.026401160000204982
array,find: existing value,100,10000,0.33,13.169173122999837
linked_list,find: existing value,100,10000,0.33,0.031481613000323705
csr,find: existing value,100,10000,0.33,27.35279564700022
array,find: non-existing value,100,10000,0.33,12.918155250999916
linked_list,find: non-existing value,100,10000,0.33,0.03378229499958252
csr,find: non-existing value,100,10000,0.33,27.270389700000123
array,find: existing value,320,3,1.0,0.031217613000080746
linked_list,find: existing value,320,3,1.0,0.006351565999921149
csr,find: existing value,320,3,1.0,0.03296130999979141
array,find: non-existing value,320,3,1.0,0.031060888999945746
linked_list,find: non-existing value,320,3,1.0,0.006050893000065116
csr,find: non-existing value,320,3,1.0,0.03276449400027559
array,find: existing value,1000,10,1.0,0.2446978000002673
linked_list,find: existing value,1000,10,1.0,0.02311699999972916
csr,find: existing value,1000,10,1.0,0.3569993070000237
array,find: non-existing value,1000,10,1.0,0.22689790499998708
linked_list,find: non-existing value,1000,10,1.0,0.020860674000232393
csr,find: non-existing value,1000,10,1.0,0.39137825400030124
array,find: existing value,1,100,1.0,0.00177722399985214
linked_list,find: existing value,1,100,1.0,0.0010556460001680534
csr,find: existing value,1,100,1.0,0.003385438999885082
array,find: non-existing value,1,100,1.0,0.0019648359998427622
linked_list,find: non-existing value,1,100,1.0,0.0009651649997977074
csr,find: non-existing value,1,100,1.0,0.0031649749998905463
array,find: existing value,1000,10,0.33,0.17308191200027068
linked_list,find: existing value,1000,10,0.33,0.022486273999675177
csr,find: existing value,1000,10,0.33,0.24985243199989782
array,find: non-existing value,1000,10,0.33,0.17676102199993693
linked_list,find: non-existing value,1000,10,0.33,0.023780132999945636
csr,find: non-existing value,1000,10,0.33,0.2766857780002283
array,find: existing value,1,100,0.33,0.0015589099998578604
linked_list,find: existing value,1,100,0.33,0.0005191249997551495
csr,find: existing value,1,100,0.33,0.002909145000103308
