implementation,action,num_rows,num_cols,filled,time
array,find: existing value,100,1,0.66,0.006199155000103929
linked_list,find: existing value,100,1,0.66,0.001185549999718205
csr,find: existing value,100,1,0.66,0.0029270569998516294
array,find: non-existing value,100,1,0.66,0.00560237399986363
linked_list,find: non-existing value,100,1,0.66,0.0012966559997948934
csr,find: non-existing value,100,1,0.66,0.0033077339999181277
array,find: existing value,100,10000,1.0,20.616680191999876
linked_list,find: existing value,100,10000,1.0,0.10274203900007706
csr,find: existing value,100,10000,1.0,36.881889787999626
array,find: non-existing value,100,10000,1.0,20.59229835699989
linked_list,find: non-existing value,100,10000,1.0,0.10518500799980757
csr,find: non-existing value,100,10000,1.0,37.312100894000196
array,find: existing value,31,3160,0.66,1.6168558360000134
linked_list,find: existing value,31,3160,0.66,0.023785453000073176
csr,find: existing value,31,3160,0.66,3.228763697999966
array,find: non-existing value,31,3160,0.66,1.6371900780000033
linked_list,find: non-existing value,31,3160,0.66,0.025771190999876126
csr,find: non-existing value,31,3160,0.66,3.1184012590001657
array,find: existing value,316,316,0.66,1.6831698609998966
linked_list,find: existing value,316,316,0.66,0.009518030999970506
csr,find: existing value,316,316,0.66,3.2000206419997994
array,find: non-existing value,316,316,0.66,1.704283832999863
linked_list,find: non-existing value,316,316,0.66,0.00924473199984277
csr,find: non-existing value,316,316,0.66,3.1802465480000137
array,find: existing value,3,320,0.66,0.017814766999890708
linked_list,find: existing value,3,320,0.66,0.0022297789996628126
csr,find: existing value,3,320,0.66,0.02636491900011606
array,find: non-existing value,3,320,0.66,0.01394402000005357
linked_list,find: non-existing value,3,320,0.66,0.0022178640001584426
csr,find: non-existing value,3,320,0.66,0.031237855999734165
array,find: existing value,100,10000,0.33,13.157250381999802
linked_list,find: existing value,100,10000,0.33,0.03687011800002438
csr,find: existing value,100,10000,0.33,26.964962401999856
array,find: non-existing value,100,10000,0.33,13.107739305999985
linked_list,find: non-existing value,100,10000,0.33,0.04059597000014037
csr,find: non-existing value,100,10000,0.33,26.75045876000013
array,find: existing value,320,3,1.0,0.03452230600032635
linked_list,find: existing value,320,3,1.0,0.006441009999889502
csr,find: existing value,320,3,1.0,0.03264556199974322
array,find: non-existing value,320,3,1.0,0.03301106099979734
linked_list,find: non-existing value,320,3,1.0,0.006115342000157398
csr,find: non-existing value,320,3,1.0,0.03578289200004292
array,find: existing value,1000,10,1.0,0.24472367399994255
linked_list,find: existing value,1000,10,1.0,0.02167703600025561
csr,find: existing value,1000,10,1.0,0.3714061099999526
array,find: non-existing value,1000,10,1.0,0.23288976200001343
linked_list,find: non-existing value,1000,10,1.0,0.01996109899982912
csr,find: non-existing value,1000,10,1.0,0.3756235339997147
array,find: existing value,1,100,1.0,0.002025993000188464
linked_list,find: existing value,1,100,1.0,0.0010702910003601573
csr,find: existing value,1,100,1.0,0.003455401000337588
array,find: non-existing value,1,100,1.0,0.0021438240000861697
linked_list,find: non-existing value,1,100,1.0,0.0012227030001668027
